"pathway","N","DE","P.DE","FDR"
"BIOCARTA_GRANULOCYTES_PATHWAY",14,5,0.00241043610037439,0.35850210609448
"BIOCARTA_LYM_PATHWAY",13,4,0.015583122211535,0.538377868600959
"BIOCARTA_BLYMPHOCYTE_PATHWAY",12,3,0.138208918562003,0.857561689897496
"BIOCARTA_CARM_ER_PATHWAY",23,7,0.026288528754427,0.642631088723868
"BIOCARTA_LAIR_PATHWAY",17,4,0.0463045471643728,0.717551519563081
"BIOCARTA_VDR_PATHWAY",24,5,0.114630330197138,0.840494772108662
"BIOCARTA_MTA3_PATHWAY",18,5,0.0493642305832946,0.721044867122814
"BIOCARTA_GABA_PATHWAY",9,0,1,1
"BIOCARTA_EGFR_SMRTE_PATHWAY",11,5,0.0339088321074123,0.668278068471016
"BIOCARTA_MONOCYTE_PATHWAY",10,1,0.656789128751306,1
"BIOCARTA_RARRXR_PATHWAY",7,3,0.0660725350909044,0.77388430980496
"BIOCARTA_NUCLEARRS_PATHWAY",34,2,0.849372521913176,1
"BIOCARTA_RANMS_PATHWAY",10,0,1,1
"BIOCARTA_TEL_PATHWAY",17,4,0.30766148563349,1
"BIOCARTA_SARS_PATHWAY",7,0,1,1
"BIOCARTA_PDZS_PATHWAY",15,1,0.952994694735375,1
"BIOCARTA_RACC_PATHWAY",14,1,0.912280040935139,1
"BIOCARTA_EICOSANOID_PATHWAY",21,3,0.281764660427209,0.994071336227002
"BIOCARTA_CHREBP_PATHWAY",19,4,0.138961002412697,0.859555720164129
"BIOCARTA_LIS1_PATHWAY",18,2,0.665092804717304,1
"BIOCARTA_HSWI_SNF_PATHWAY",12,3,0.177370230485844,0.89559959394792
"BIOCARTA_PCAF_PATHWAY",13,1,0.823493648559364,1
"BIOCARTA_LYMPHOCYTE_PATHWAY",8,1,0.605990793808683,1
"BIOCARTA_AMAN_PATHWAY",15,1,0.81094679165221,1
"BIOCARTA_NEUTROPHIL_PATHWAY",7,1,0.534640473995269,1
"BIOCARTA_EFP_PATHWAY",16,3,0.269157280922988,0.981578776384864
"BIOCARTA_CREM_PATHWAY",6,0,1,1
"BIOCARTA_ERAD_PATHWAY",19,1,0.899527593813519,1
"BIOCARTA_BTG2_PATHWAY",11,4,0.0494113011789504,0.721044867122814
"BIOCARTA_TERT_PATHWAY",8,2,0.313954087434154,1
"BIOCARTA_GHRELIN_PATHWAY",13,0,1,1
"BIOCARTA_VOBESITY_PATHWAY",8,3,0.0645525544749594,0.77388430980496
"BIOCARTA_ERBB3_PATHWAY",5,0,1,1
"BIOCARTA_CTBP1_PATHWAY",8,1,0.722366894772117,1
"BIOCARTA_PRION_PATHWAY",12,2,0.501354288185664,1
"BIOCARTA_PLK3_PATHWAY",8,0,1,1
"BIOCARTA_FXR_PATHWAY",7,1,0.60275967084536,1
"BIOCARTA_MHC_PATHWAY",12,4,0.11879036018575,0.840494772108662
"BIOCARTA_ACETAMINOPHEN_PATHWAY",5,1,0.297296422690457,1
"BIOCARTA_PRC2_PATHWAY",12,1,0.732098756449929,1
"BIOCARTA_SM_PATHWAY",14,0,1,1
"BIOCARTA_RANBP2_PATHWAY",10,2,0.270927418044419,0.981578776384864
