pathway,pval,padj,log2err,ES,NES,size,leadingEdge
BIOCARTA_41BB_PATHWAY,0.037130842154797776,0.1020287835349584,0.3217759180753611,0.6756978339468701,1.3839782458679089,18,
BIOCARTA_ACE2_PATHWAY,0.001187332447662635,0.011101362456198827,0.45505986738722953,0.8571368338159729,1.6582125957001876,9,
BIOCARTA_ACETAMINOPHEN_PATHWAY,0.6133866133866134,0.6852225062004242,0.03622547558572541,0.5049542845071546,0.9257432411133074,5,
BIOCARTA_ACH_PATHWAY,0.03896103896103896,0.10442443081988967,0.22798720285044224,0.6820758957213832,1.369809205944101,14,
BIOCARTA_ACTINY_PATHWAY,0.03596403596403597,0.10018300283787011,0.2377938344236881,0.7068911278561121,1.387981068946472,11,
BIOCARTA_AGPCR_PATHWAY,0.018774579714689408,0.06827777192774723,0.35248785758361917,0.7533447364254834,1.479192751676293,11,
BIOCARTA_AGR_PATHWAY,0.26673326673326675,0.37224401214548997,0.07569463079327488,0.5230059810255621,1.1086332861519232,30,
BIOCARTA_AHSP_PATHWAY,0.2947052947052947,0.39833020033401717,0.07061962471225905,0.5800324034743204,1.138893902713901,11,
BIOCARTA_AKAP13_PATHWAY,0.2807192807192807,0.38530897397176467,0.07307443991269867,0.5840217414480946,1.1467269697408151,11,
BIOCARTA_AKAP95_PATHWAY,0.03696303696303696,0.10176509593419214,0.2343926472946861,0.7052497092247354,1.3847581426756665,11,
BIOCARTA_AKAPCENTROSOME_PATHWAY,0.029970029970029972,0.08946796091158579,0.2616635217115731,0.6892049182793945,1.3841263820686418,14,
BIOCARTA_AKT_PATHWAY,0.0015186751249845881,0.013238174243327195,0.45505986738722953,0.7453866601355905,1.5401303493319998,20,
BIOCARTA_ALK_PATHWAY,0.006581009296237112,0.034272057603381874,0.40701791892395395,0.6309778249884115,1.3615371365444635,37,
BIOCARTA_ALTERNATIVE_PATHWAY,0.9310689310689311,0.9464364125289852,0.012413637236997066,0.3065314468499256,0.5835022411810251,8,
BIOCARTA_AMAN_PATHWAY,0.4775224775224775,0.5650882117047531,0.0477342401407188,0.5043364495802475,1.018741501591355,15,
BIOCARTA_AMI_PATHWAY,0.07892107892107893,0.16296167389461852,0.1563124030731863,0.6247833697901555,1.2796941898109007,18,
BIOCARTA_ARAP_PATHWAY,0.13986013986013987,0.23669281733797864,0.11331290842208036,0.6021967770367187,1.2280269633016585,17,
BIOCARTA_ARENRF2_PATHWAY,0.04795204795204795,0.11812882769404509,0.20429475651688608,0.63929060736179,1.3209129155352428,20,
BIOCARTA_ARF_PATHWAY,0.07392607392607392,0.15723165723165725,0.1619789488834018,0.6314043519409273,1.2875883739281286,17,
BIOCARTA_ASBCELL_PATHWAY,0.988011988011988,0.991863204124012,0.005025372093912295,0.22123240467548866,0.4388209137350522,12,
BIOCARTA_AT1R_PATHWAY,5.416152719532581e-5,0.001763673638440897,0.557332238758646,0.7728285851947135,1.62210864863244,26,
BIOCARTA_ATM_PATHWAY,0.04195804195804196,0.10925287947346772,0.21925034670375515,0.6418638545548323,1.3262298018041987,20,
BIOCARTA_ATRBRCA_PATHWAY,0.03896103896103896,0.10442443081988967,0.22798720285044224,0.6354444040722745,1.3164948347781644,22,
