TERMS,tValue,DF,pVal,FDR,pAdjust,collection,signif
BIOCARTA_GRANULOCYTES_PATHWAY,1.7239849863438,506,0.967191435394937,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_LYM_PATHWAY,2.94934786948868,529,0.678895311663475,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_BLYMPHOCYTE_PATHWAY,59.3773303198782,1875,3.3098508480662197e-69,1.16920481207939e-66,9.376807452571601e-66,BIOCARTA,TRUE
BIOCARTA_CARM_ER_PATHWAY,4.78969764634697,821,0.330090033581425,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_LAIR_PATHWAY,-2.46919827403735,689,0.216932905414452,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_VDR_PATHWAY,1.08275727346437,657,0.877629666978052,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_MTA3_PATHWAY,2.43088945685731,737,0.79778081827373,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_GABA_PATHWAY,-1.35175931402129,304,0.370935288836281,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_EGFR_SMRTE_PATHWAY,0.220471465870869,433,0.677160045218867,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_MONOCYTE_PATHWAY,3.67111299701049,432,0.526353753161381,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_RARRXR_PATHWAY,-0.558270838022687,256,0.513570108853324,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_NUCLEARRS_PATHWAY,3.88708261373987,1323,0.484367868653229,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_RANMS_PATHWAY,2.63730640012649,412,0.749706432197261,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_TEL_PATHWAY,-0.427759070892302,663,0.539494151474106,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_SARS_PATHWAY,3.50796864499794,298,0.559259291144382,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_PDZS_PATHWAY,1.4814032231212,570,0.973930496309452,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_RACC_PATHWAY,4.49831209549648,590,0.376009442938731,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_EICOSANOID_PATHWAY,5.07687500136506,993,0.288548257496199,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_CHREBP_PATHWAY,0.744704064895436,595,0.797307034684878,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_LIS1_PATHWAY,-1.23983845817175,630,0.389420512533865,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_HSWI_SNF_PATHWAY,2.02216820042679,455,0.895095851292802,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_PCAF_PATHWAY,-0.700340356910088,473,0.486105638597191,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_LYMPHOCYTE_PATHWAY,1.85760294383854,350,0.934816219055203,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_AMAN_PATHWAY,0.499612363012289,587,0.740336567574685,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_NEUTROPHIL_PATHWAY,5.31118645833683,307,0.25737997674326,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_EFP_PATHWAY,0.267907761587951,511,0.687751574840578,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_CREM_PATHWAY,2.02339978034246,242,0.894799454007734,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_ERAD_PATHWAY,3.73084167165269,622,0.514558957389838,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_BTG2_PATHWAY,-0.825730121739841,373,0.462541476423816,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_TERT_PATHWAY,4.55397008088532,295,0.366946418226725,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_GHRELIN_PATHWAY,-0.718133499137805,560,0.482722777750677,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_VOBESITY_PATHWAY,0.293956804312011,297,0.69359410733655,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_ERBB3_PATHWAY,0.186341707784678,182,0.669578733003873,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_CTBP1_PATHWAY,7.28779786761979,287,0.0829132655858482,0.86462320496534,1,BIOCARTA,FALSE
BIOCARTA_PRION_PATHWAY,1.94418450551547,585,0.9138918309233,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_PLK3_PATHWAY,3.22705275644563,284,0.618154182487227,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_FXR_PATHWAY,4.10993488440787,321,0.443021011459877,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_MHC_PATHWAY,54.8834626933276,2460,3.89234792160316e-59,6.110986236916949e-57,1.1027021661901753e-55,BIOCARTA,TRUE
BIOCARTA_ACETAMINOPHEN_PATHWAY,-2.05543457236594,240,0.267503781647213,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_PRC2_PATHWAY,2.09405372549042,406,0.877821446656131,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_SM_PATHWAY,2.41958556395549,543,0.800437631076678,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_RANBP2_PATHWAY,2.64616609414322,320,0.747663149166726,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_IRES_PATHWAY,4.43235940507012,262,0.38692596708592,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_PLC_PATHWAY,2.28476420403958,336,0.832295213841159,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_BBCELL_PATHWAY,60.2712168603849,1748,2.63136318379591e-71,1.2393720595678801e-68,7.454651899693814e-68,BIOCARTA,TRUE
BIOCARTA_CDC25_PATHWAY,3.70650277516783,363,0.519348591658864,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_DSP_PATHWAY,3.33543539907051,279,0.595110073680019,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_NPC_PATHWAY,6.65292645274176,396,0.123351976980995,0.943775139400086,1,BIOCARTA,FALSE
